date,plate_id,plate_name,sample_id,well_A01,well_01A,tissue_id,dna_person,notes,tissue_type,extraction
7/8/21,plate 12,Seren Plate 12,plate 12_G09,G09,09G,2105,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_H09,H09,09H,2108,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_A10,A10,10A,2111,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_B10,B10,10B,2113,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_C10,C10,10C,2115,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_D10,D10,10D,2117,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_E10,E10,10E,2121,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_F10,F10,10F,2123,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_G10,G10,10G,2125,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_H10,H10,10H,2127,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_A11,A11,11A,2129,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_B11,B11,11B,2132,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_C11,C11,11C,2138,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_D11,D11,11D,2139,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_E11,E11,11E,2140,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_F11,F11,11F,2141,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_G11,G11,11G,2145,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_H11,H11,11H,BLANK_plate 12_H11,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_A12,A12,12A,2147,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_B12,B12,12B,2149,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_C12,C12,12C,2151,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_D12,D12,12D,2153,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_E12,E12,12E,2155,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_F12,F12,12F,2158,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_G12,G12,12G,2159,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_H12,H12,12H,BLANK_plate 12_H12,seren,,Leaf,CTAB
