plot_name,plot_id,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number
2021-20.GS.C3.UYT.28.UB-rep3-TMS14F1016P0006_317,1928008,TMS14F1016P0006,317,11,,3,11,3
2021-20.GS.C3.UYT.28.UB-rep3-IITA-TMS-IBA30572_318,1928076,IITA-TMS-IBA30572,318,11,1,3,11,4
2021-20.GS.C3.UYT.28.UB-rep3-TMS15F1394P0007_319,1928067,TMS15F1394P0007,319,11,,3,11,5
2021-20.GS.C3.UYT.28.UB-rep3-TMEB419_320,1928051,TMEB419,320,11,1,3,11,6
2021-20.GS.C3.UYT.28.UB-rep3-TMS14F1285P0017_321,1928059,TMS14F1285P0017,321,11,,3,11,7
2021-20.GS.C3.UYT.28.UB-rep3-TMS16F1078P0006_322,1928053,TMS16F1078P0006,322,12,,3,12,7
2021-20.GS.C3.UYT.28.UB-rep3-TMS16F1153P0005_323,1928054,TMS16F1153P0005,323,12,,3,12,6
2021-20.GS.C3.UYT.28.UB-rep3-TMS16F1438P0002_324,1928034,TMS16F1438P0002,324,12,,3,12,5
2021-20.GS.C3.UYT.28.UB-rep3-TMS14F1306P0015_325,1928029,TMS14F1306P0015,325,12,,3,12,4
2021-20.GS.C3.UYT.28.UB-rep3-TMS14F1036P0007_326,1928038,TMS14F1036P0007,326,12,,3,12,3
2021-20.GS.C3.UYT.28.UB-rep3-IITA-TMS-IBA000070_327,1928028,IITA-TMS-IBA000070,327,12,1,3,12,2
2021-20.GS.C3.UYT.28.UB-rep3-TMS14F1287P0008_328,1928002,TMS14F1287P0008,328,12,,3,12,1
