"","x"
"130","IITA-TMS-IBA000070.A42684|||IITA-TMS-IBA000070"
"131","TMS21F2172P0001.A41338|||TMS21F2172P0001"
"132","TMS21F2227P0019.A41339|||TMS21F2227P0019"
"133","TMS18F1419P0037.A41341|||TMS18F1419P0037"
"134","TMS21F1975P0073.A41342|||TMS21F1975P0073"
"135","TMS21F2206P0002.A41343|||TMS21F2206P0002"
"136","TMS21F1987P0004.A41344|||TMS21F1987P0004"
"137","TMS21F2110P0002.A41345|||TMS21F2110P0002"
"138","TMS21F2012P0012.A41346|||TMS21F2012P0012"
"139","TMS21F2045P0008.A41347|||TMS21F2045P0008"
"140","TMS13F1343P0022.A41596|||TMS13F1343P0022"
"141","TMS21F2145P0003.A41348|||TMS21F2145P0003"
"142","TMS21F1990P0001.A41349|||TMS21F1990P0001"
"143","TMS21F2061P0006.A41350|||TMS21F2061P0006"
"144","TMS21F2244P0068.A41351|||TMS21F2244P0068"
"145","TMS21F2162P0001.A41352|||TMS21F2162P0001"
"146","TMS13F1304P0003.A41353|||TMS13F1304P0003"
"147","TMS21F2172P0003.A41354|||TMS21F2172P0003"
"148","TMS21F1975P0091.A41355|||TMS21F1975P0091"
"149","TMS21F1982P0010.A41356|||TMS21F1982P0010"
"150","TMS21F2087P0007.A41357|||TMS21F2087P0007"
"151","IITA-TMS-IBA070593.A42709|||IITA-TMS-IBA070593"
"152","TMS21F2181P0003.A41358|||TMS21F2181P0003"
"153","TMS21F2112P0002.A41359|||TMS21F2112P0002"
"154","TMS18F1298P0026.A41360|||TMS18F1298P0026"
"155","TMS21F1997P0005.A41361|||TMS21F1997P0005"
"156","TMS21F1983P0003.A41362|||TMS21F1983P0003"
"157","TMS21F2152P0017.A41363|||TMS21F2152P0017"
"158","TMS21F2093P0012.A41364|||TMS21F2093P0012"
"159","TMS21F2241P0067.A41365|||TMS21F2241P0067"
"160","TMS21F2166P0001.A41366|||TMS21F2166P0001"
"161","IITA-TMS-IBA070593.A42709|||IITA-TMS-IBA070593"
"162","TMS21F2238P0099.A41367|||TMS21F2238P0099"
"163","TMS21F2259P0033.A41369|||TMS21F2259P0033"
"164","TMS21F2254P0010.A41370|||TMS21F2254P0010"
"165","TMS21F2175P0001.A41371|||TMS21F2175P0001"
"166","TMS18F1163P0020.A41372|||TMS18F1163P0020"
"167","TMS21F2086P0013.A41374|||TMS21F2086P0013"
"168","TMS21F2045P0062.A41375|||TMS21F2045P0062"
"169","TMS21F2060P0025.A41376|||TMS21F2060P0025"
"170","TMS21F2038P0014.A41377|||TMS21F2038P0014"
"171","TMS21F2157P0003.A41378|||TMS21F2157P0003"
"172","TMS21F2107P0021.A41379|||TMS21F2107P0021"
"173","TMS21F1997P0004.A41380|||TMS21F1997P0004"
"174","TMS21F1996P0018.A41381|||TMS21F1996P0018"
"175","TMS18F1047P0024.A41382|||TMS18F1047P0024"
"176","TMS21F2060P0003.A41383|||TMS21F2060P0003"
"177","TMS21F2002P0002.A41384|||TMS21F2002P0002"
"178","TMS21F2149P0009.A41385|||TMS21F2149P0009"
"179","TMS21F2020P0011.A41386|||TMS21F2020P0011"
"180","TMS21F2094P0003.A41387|||TMS21F2094P0003"
