plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,sprout,vigor,cmd1s,cmd1i
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2107P0017_577,TMS21F2107P0017,577,15,,1,29,17,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2240P0016_578,TMS21F2240P0016,578,15,,1,29,18,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2248P0060_579,TMS21F2248P0060,579,15,,1,29,19,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2066P0002_580,TMS21F2066P0002,580,15,,1,29,20,5,3,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2012P0005_581,TMS21F2012P0005,581,15,,1,30,20,5,5,3,5
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2247P0030_582,TMS21F2247P0030,582,15,,1,30,19,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2081P0002_583,TMS21F2081P0002,583,15,,1,30,18,4,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMEB419 _584,TMEB419 ,584,15,1,1,30,17,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS15F1474P0007_585,TMS15F1474P0007,585,15,,1,30,16,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2251P0023_586,TMS21F2251P0023,586,15,,1,30,15,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2222P0004_587,TMS21F2222P0004,587,15,,1,30,14,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2207P0003_588,TMS21F2207P0003,588,15,,1,30,13,4,3,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2254P0029_589,TMS21F2254P0029,589,15,,1,30,12,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2044P0010_590,TMS21F2044P0010,590,15,,1,30,11,4,3,4,4
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2242P0064_591,TMS21F2242P0064,591,15,,1,30,10,5,5,3,2
2022-21.GS.C5.CE.1060.IB-rep1-TMS14F1306P0015_592,TMS14F1306P0015,592,15,,1,30,9,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-IITA-TMS-IBA070593_593,IITA-TMS-IBA070593,593,15,1,1,30,8,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2042P0003_594,TMS21F2042P0003,594,15,,1,30,7,5,5,4,5
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2065P0001_595,TMS21F2065P0001,595,15,,1,30,6,5,3,4,5
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2121P0011_596,TMS21F2121P0011,596,15,,1,30,5,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2122P0003_597,TMS21F2122P0003,597,15,,1,30,4,5,5,4,5
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2056P0004_598,TMS21F2056P0004,598,15,,1,30,3,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2038P0006_599,TMS21F2038P0006,599,15,,1,30,2,2,3,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2070P0003_600,TMS21F2070P0003,600,15,,1,30,1,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-IITA-TMS-IBA000070_601,IITA-TMS-IBA000070,601,16,1,1,31,1,4,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2119P0005_602,TMS21F2119P0005,602,16,,1,31,2,5,7,3,5
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2169P0001_603,TMS21F2169P0001,603,16,,1,31,3,5,7,3,5
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2072P0006_604,TMS21F2072P0006,604,16,,1,31,4,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2059P0004_605,TMS21F2059P0004,605,16,,1,31,5,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2108P0001_606,TMS21F2108P0001,606,16,,1,31,6,4,5,1,0
